State,Housing,Household Size,Income,Value
Alaska,13404,2.75,61749,0.9337
Alabama,8328,2.55,43330,1.1351
Arkansas,7908,2.53,40877,1.1416
Arizona,10680,2.67,49698,1.0194
California,14688,2.94,57161,0.8857
Colorado,11652,2.53,61634,0.9843
Connecticut,12480,2.55,67807,0.9141
District of Columbia,15684,2.2,61229,0.846
Delaware,11988,2.63,54377,0.9775
Florida,11664,2.61,47106,1.0121
Georgia,10200,2.71,47753,1.087
Hawaii,16968,2.96,60814,0.8532
Iowa,8148,2.42,53364,1.1173
Idaho,8700,2.68,49952,1.0684
Illinois,10620,2.63,54083,0.994
Indiana,8760,2.55,48178,1.0977
Kansas,8940,2.51,49804,1.1123
Kentucky,8016,2.5,42260,1.1261
Louisiana,9156,2.6,40844,1.0941
Massachusetts,12924,2.51,64555,0.9328
Maryland,14520,2.65,69518,0.8985
Maine,9120,2.33,50668,1.0173
Michigan,9216,2.53,49902,1.0593
Minnesota,9984,2.47,59847,1.0256
Missouri,8808,2.47,49290,1.1351
Mississippi,8496,2.65,40338,1.1574
Montana,8280,2.39,43924,1.0616
North Carolina,9336,2.53,44254,1.0917
North Dakota,8280,2.31,55583,1.1062
Nebraska,8568,2.47,55107,1.1099
New Hampshire,11940,2.47,69888,0.9416
New Jersey,14052,2.71,65321,0.8764
New Mexico,9264,2.66,44472,1.0549
Nevada,11424,2.7,49204,1.0183
New York,13308,2.61,51962,0.8666
Ohio,8508,2.47,46672,1.1211
Oklahoma,8460,2.55,47282,1.1123
Oregon,10644,2.49,54066,1.0121
Pennsylvania,9936,2.48,52481,1.0132
Rhode Island,11016,2.46,55158,1.0132
South Carolina,9192,2.55,43716,1.1025
South Dakota,7644,2.45,50488,1.1338
Tennessee,8976,2.52,42785,1.1025
Texas,10284,2.82,51752,1.0363
Utah,10572,3.12,60053,1.0331
Virginia,13032,2.6,65635,0.969
Vermont,10380,2.34,56175,0.9911
Washington,11868,2.54,60520,0.969
Wisconsin,9096,2.43,54205,1.0764
West Virginia,7440,2.43,43361,1.1287
Wyoming,9360,2.5,56569,1.0373
